Genotype.y,biol_rep,name,gen_n,pop_dapc8,pop_dapc8_n,pop_dapc8_ID,ID,Genotype,pop_dapc5,Lat,Long,Alt,Country,Ac_ara,Ac_gal,Ac_glc,Ac_xyl,Ac_man,Ac_cel,Ara,Gal,Glc,Xyl,Man,Cel,AraEnz,GlcEnz,XylEnz,AraEnz_p,GlcEnz_p,XylEnz_p,AraE,GlcE,XylE,AraE_DW,GlcE_DW,XylE_DW,ADF,NDF,ADL,Ash,DM,K_Lignin,Cellulose,Hemicellulose,CelHem,XylAra,ManGal,XylGlc,DWL,DWS,LSR,DW,GlcE_harv
Mb348,3,Pryderi,7,Sacc_rob,6,M6,M6.05,Mb348,3,34.3048,117.951,24,China,0.640133333,0.151733333,14.6414,10.93373333,0.478333333,NA,1.829266772,0.433526382,41.84133765,31.24656358,1.367926714,NA,5.691033333,16.50109398,5.5644611,1.113755031,2.850344705,1.036216802,5.529184085,6.804911986,3.315386739,0.389814261,0.997620647,0.362675881,55.97,88.3,9.08,1.86,92.65,20.04,46.89,32.33,1.450355707,17.08146895,3.155348257,0.746786918,0.86,7.33,0.12,0.035,0.997620647
Mb494#1,1,Pwyll,12,Sacc_rob,6,M6,M6.06,Mb494,3,33.9408,133.635,222,Japan,0.539,0.1796,9.818333333,6.8699,0.4779,NA,1.51583871,0.511912584,28.07616827,19.64298156,1.36507271,NA,1.134966667,23.33446477,4.1598106,0.21503275,4.241424866,0.793090535,22.47444545,15.90219514,4.355864736,1.79982412,35.50072613,6.638167775,59.09,89.04,9.32,1.88,93.02,19.91,49.77,29.95,1.661769616,12.95849053,2.666612921,0.699631851,2.46,11.58,0.21,0.837,35.50072613
Mb494#1,2,Pwyll,12,Sacc_rob,6,M6,M6.06,Mb494,3,33.9408,133.635,222,Japan,0.5437,0.153833333,15.5674,10.60523333,0.616233333,NA,1.53457185,0.434202739,43.89741451,29.93490523,1.747627232,NA,0.6675,12.69477398,3.6813892,0.132640835,2.304638564,0.739114174,8.626504802,5.388713456,2.48739603,1.929924154,33.53249111,10.75411123,62.67,92.39,10.38,1.5,94.28,20.46,52.29,29.72,1.759421265,19.50700791,4.024910661,0.681928664,4.91,21.59,0.23,1.455,33.53249111
Mb494#1,3,Pwyll,12,Sacc_rob,6,M6,M6.06,Mb494,3,33.9408,133.635,222,Japan,0.473333333,0.117933333,16.9593,11.01876667,0.7596,NA,1.351463965,0.336759208,48.42261599,31.46697073,2.164578975,NA,0.555633333,9.27312673,3.020836,0.112918952,1.617248165,0.606406423,8.284093612,3.346507141,1.927421438,1.225170633,17.54714259,6.57950969,65.03,94.1,10.69,1.17,93.74,20.64,54.34,29.07,1.869281046,23.28361802,6.427675691,0.649840371,5.81,17.28,0.34,1.085,17.54714259
Mb358#2,1,Rhiannon,36,Sacc_rob,6,M6,M6.10,Mb358,3,34.2988,117.952,27,China,1.077,0.452466667,14.25423333,12.0333,1.476566667,NA,3.042958831,1.278599586,40.25669407,33.98602627,4.171631837,NA,0.60795,18.6591909,4.16500245,0.125175133,3.631111904,0.866034407,3.662089619,9.279055868,2.573146066,0.719757012,20.87889345,4.97969784,57.77,90.39,7.99,2.63,93.01,18.44,49.78,32.62,1.526057633,11.16874337,3.262656958,0.844232917,3.1,13.51,0.23,0.575,20.87889345
Mb358#2,2,Rhiannon,36,Sacc_rob,6,M6,M6.10,Mb358,3,34.2988,117.952,27,China,0.6134,0.135666667,15.18726667,10.37166667,0.380666667,NA,1.735461617,0.383593463,42.97322188,29.34716984,1.080646411,NA,2.9366,21.11932373,4.143194,0.585553595,4.087948055,0.847558431,7.427297217,9.521108275,2.870134162,2.699402073,18.84544054,3.907244365,58.47,92.68,7.44,2.06,92.51,17.88,51.03,34.21,1.491669103,16.91029611,2.817165868,0.682917607,4.02,27.49,0.15,0.461,18.84544054
Mb358#2,3,Rhiannon,36,Sacc_rob,6,M6,M6.10,Mb358,3,34.2988,117.952,27,China,0.807766667,0.226066667,16.19923333,11.5016,0.360633333,NA,2.28895567,0.640790528,45.85527536,32.56915022,1.015732838,NA,0.588,14.2717722,3.5445608,0.115773801,2.583565615,0.701770405,5.275546929,5.632741095,2.14691334,0.318377953,7.10480544,1.929868615,53.43,87.32,7.09,3.25,93.15,17.55,46.34,33.89,1.367365004,14.22882525,1.585124613,0.710259615,5.56,15.21,0.37,0.275,7.10480544
Mb1062#15,1,Blodeuwedd,23,Lut,8,M8,M8.03,Mb1062,3,28.5408,112.224,30,China,1.140466667,0.5462,15.49716667,11.04463333,0.786666667,NA,3.200206369,1.530205593,43.52121089,31.01895511,2.207016763,NA,0.4412,8.13862924,2.4959532,0.08638593,1.365131069,0.492747494,3.005704087,3.172342458,1.595848973,1.170529347,18.49752599,6.676728544,62.59,87.25,12.69,2.65,94.2,22.9,49.9,24.66,2.02351987,9.692798381,1.442300807,0.712731895,5.15,198.01,0.03,1.355,18.49752599
Mb1062#15,2,Blodeuwedd,23,Lut,8,M8,M8.03,Mb1062,3,28.5408,112.224,30,China,0.5835,NA,16.00825,10.57273333,0.933033333,NA,1.622694692,NA,44.51553888,29.83813887,2.634098034,NA,6.7326,13.16001225,4.4844708,1.305358599,2.181783049,0.81847052,11.17495235,4.441018369,2.748048886,15.61208884,26.09412526,9.788907423,59.78,87.5,9.5,3.65,93.06,20.34,50.28,27.72,1.813852814,18.38801779,NA,0.670285919,5.74,189.6,0.03,1.196,26.09412526
Mb1062#15,3,Blodeuwedd,23,Lut,8,M8,M8.03,Mb1062,3,28.5408,112.224,30,China,0.4841,0.1143,15.74,10.46323333,0.4461,NA,1.35400945,0.319675296,44.01289243,29.2624481,1.238362456,NA,0.400233333,7.76000358,2.4738648,0.078275184,1.278808777,0.483004762,5.796533827,2.905286854,1.650599464,1.824594531,29.80903258,11.258841,64.63,90.42,12.55,1.56,93.51,22.91,52.08,25.79,2.019387359,21.61170153,3.873813435,0.664860828,3.18,225.8,0.01,2.331,29.80903258
Mb1074#21,1,Bran,24,Lut,8,M8,M8.04,Mb1074,3,28.5435,112.075,23,China,1.0568,0.523266667,15.1844,10.7847,1.105433333,NA,3.026341537,1.494734446,43.5405461,30.92395193,3.154487187,NA,0.4144,15.315195,3.8010016,0.079145601,2.682563539,0.722576769,2.950084574,6.152611772,2.337366286,0.293630181,9.952310731,2.680759813,57.41,85.39,9.9,3.28,93.26,20.58,47.51,27.98,1.69799857,10.2182624,2.11039974,0.710233442,0.28,38.54,0.01,0.371,9.952310731
Mb1074#21,2,Bran,24,Lut,8,M8,M8.04,Mb1074,3,28.5435,112.075,23,China,NA,NA,14.48676667,10.7847,0.788866667,NA,NA,NA,41.10410475,30.60121633,2.229127851,NA,0.517566667,12.2872491,3.22648713,0.101461969,2.173128656,0.635330352,NA,5.347158613,2.084682284,0.053774844,1.151758188,0.336725086,57.34,88.27,9.75,2.97,93.32,20.95,47.59,30.93,1.538635629,NA,NA,0.744480789,NA,NA,NA,0.053,1.151758188
Mb1074#21,3,Bran,24,Lut,8,M8,M8.04,Mb1074,3,28.5435,112.075,23,China,0.577066667,0.1984,15.57966667,10.354,0.798933333,NA,1.659093869,0.570338738,44.79375529,29.77024639,2.296265337,NA,0.5295,11.76747012,3.4641956,0.107831485,2.138169593,0.701988807,6.512404967,4.759472865,2.352097182,0.215662969,4.276339187,1.403977615,54.34,83.68,9.99,2.71,93.46,20.29,44.35,29.34,1.511588275,17.94367814,4.026143037,0.664607069,NA,NA,NA,0.2,4.276339187
Mb1060#1,1,Eigyr,22,Lut,8,M8,M8.02,Mb1060,3,28.5124,112.248,19,China,1.128033333,0.654433333,14.4606,11.0671,2.374466667,NA,3.167308726,1.831593628,40.84102585,31.35804071,6.576951278,NA,0.211566667,12.11637679,3.907092,0.040843857,2.094871451,0.749926002,1.677885321,5.185425009,2.3911246,0.048195751,2.471948312,0.884912682,60.71,89.75,8.9,3.19,92.49,19.84,51.81,29.04,1.784090909,9.900531784,3.590835421,0.767807372,NA,NA,NA,0.118,2.471948312
Mb1060#1,2,Eigyr,22,Lut,8,M8,M8.02,Mb1060,3,28.5124,112.248,19,China,0.4185,NA,10.03966667,7.6123,0.7543,NA,1.131858749,NA,27.15851722,20.59053429,2.040983435,NA,0.323666667,11.65204418,3.0944309,0.064646493,2.083276691,0.617773958,5.738853747,7.683746514,3.005239579,0.009050509,0.291658737,0.086488354,54.97,86.51,7.21,2.83,93.53,18.61,47.76,31.54,1.514267597,18.19178789,NA,0.75816121,NA,NA,NA,0.014,0.291658737
Mb1060#1,3,Eigyr,22,Lut,8,M8,M8.02,Mb1060,3,28.5124,112.248,19,China,0.562933333,0.163133333,14.9685,10.80483333,0.660933333,NA,1.628609646,0.471979426,43.30090702,31.25480997,1.906142798,NA,0.4182,17.99799673,3.8612352,0.082845269,3.32490302,0.764479098,5.110346186,7.697064118,2.450786545,0.03396656,1.363210238,0.31343643,56.82,90.32,8.46,2.09,93.3,19.67,48.36,33.5,1.44358209,19.19109963,4.03861417,0.721804972,15.32,8.43,1.82,0.041,1.363210238
