accession,geno,choice,name,ID,species,pop_dapc8,pop_dapc8_ID,pop_dapc5,Lat,Long,Soil.all,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
Mb892,Mb892#44,0,noone,NA,sacc,Sacc_rob,M6,3,35.3114,136.632,4394,-1.319478062,-0.986739437,2.871772336,2.086134405,-0.220353165,-0.017500347,0.103869921,-1.868228093,-0.011612812,0.735639296,-0.882553873,0.025885454,0.299117861,0.314404352,0.155154958,0.405078689,-0.479378441,0.426317565,-0.008244664,0.127770378,0.260892573,0.14231429,0.054391749,0.024121218,-0.025978326,0.073582102,0.025249641,0.037483315,-0.068931973,-0.007635202,-0.045952413,0.084091771,-0.068401428,-0.043362457,-0.065065661,0.025899656,-0.005318361,0.029736156,-0.016744248,-0.034120366,-0.013923588,-0.027348471,-0.011224515,0.008241953,0.006530578,-0.003410844,0.006543624,0.003399254,-0.000673131,0.000323886,1.53E-15
Mb900,Mb900#1,0,noone,NA,sin,Sacc_rob,M6,3,35.3289,136.621,4394,-1.277572174,-0.966672159,2.906738572,2.096125173,-0.24586343,-0.008391393,0.228409353,-1.877435812,-0.033187383,0.801762857,-0.897332946,0.04664951,0.342121302,0.318622965,0.175012291,0.419842544,-0.492228009,0.442535674,-0.013198778,0.135486776,0.278835923,0.142858045,0.060326421,0.025060859,-0.032622904,0.081515541,0.030705792,0.040087809,-0.077848092,-0.005155572,-0.031736785,0.090771187,-0.067962856,-0.040895225,-0.070155077,0.026190775,-0.013178604,0.030874677,-0.016457318,-0.032524749,-0.013876082,-0.035749401,-0.01363405,1.31E-05,0.004590988,-0.004652221,0.006929441,0.003514721,-0.001051791,0.000305659,1.55E-15
Mb901,Mb901,0,noone,NA,sacc,Sacc_rob,M6,3,36.0609,138.109,4355,-0.350793347,3.420089105,-0.027354459,-2.046630676,0.248878868,0.264027187,-0.203050678,1.146088,1.668884136,-0.098682285,0.558096922,0.261289232,-0.133050812,0.63288931,-0.00269537,-0.227946858,-0.494933329,-0.047727923,-0.054405995,-0.164502044,-0.25028139,0.241517627,0.046298995,-0.014569824,-0.214158343,-0.098570111,0.065620443,0.14668292,0.076405241,-0.074148658,0.017509467,0.051823084,-0.035324042,0.118251103,-0.081414056,-0.082674966,0.040907483,0.049557128,-0.049730687,-0.009269301,0.005759935,0.009823904,-0.00058216,0.015521584,-0.004018134,0.001264006,0.002246632,0.002012542,0.002407298,-0.000114095,1.94E-16
Mb909,Mb909#41,0,noone,NA,sacc,Sacc_rob,M6,3,35.8388,137.962,4418,0.297945336,0.699196433,0.726976967,-2.97759393,-1.535664038,-0.155048636,-0.616438064,0.909124507,0.709298716,-0.103873099,0.347885213,0.297350353,0.125756025,0.90319308,0.791460907,-0.249195601,-0.085008518,0.229622285,-0.157147613,-0.077398317,-0.055510499,-0.056469018,0.320261791,-0.236934908,0.173371522,0.143261176,0.152216426,-0.041589012,0.069875663,-0.071378515,0.036490663,0.045633973,-0.110495183,-0.013313548,0.004066601,0.001572669,-0.005167917,0.022263529,-0.04392941,-0.034421173,0.01071925,0.062246557,-0.014835291,-0.030403367,-0.007671791,0.043280498,-0.008687237,0.008999863,0.000313143,-0.000508629,8.33E-16
Mb91,Mb91,0,noone,NA,sacc,Sacc_rob,M6,3,40.0042,121.968,11407,-4.342888112,2.286079033,-0.613254924,-2.862343807,1.17385642,-2.739166846,-1.071673427,-0.578627959,-1.801588099,-0.823565385,-1.082765416,-0.486756708,0.098249761,-1.256345397,0.134847982,1.423306382,-0.023116429,-0.756430577,0.18270683,0.725457453,0.133000049,0.163687882,0.153346382,0.211588928,-0.044485923,-0.613524705,-0.005006841,0.062487264,0.116086338,-0.162973144,0.004557363,0.077600996,-0.035539736,-0.067391426,-0.025024407,0.13936865,-0.042834915,-0.008879016,0.077694071,0.07504723,0.000272615,-0.040875457,0.019849658,-0.020092643,0.012182807,0.010377372,0.003571242,0.000198586,-0.001422459,-0.000679907,-2.05E-15
Mb913,Mb913#17,0,noone,NA,sacc,Sacc_rob,M6,3,35.8009,137.946,4418,0.362805366,0.655543111,0.751569463,-2.910536361,-1.537359442,-0.094120319,-0.60229192,0.917947198,0.715043782,-0.006051175,0.319421931,0.316209843,0.132575283,0.982796432,0.817153086,-0.253719144,-0.094884271,0.238834433,-0.151118396,-0.079300508,-0.058709209,-0.067736097,0.306869191,-0.262860541,0.187395112,0.159354965,0.154839169,-0.021008328,0.093078499,-0.044228033,0.0263669,0.021314651,-0.108185404,-0.01464002,-0.001823918,-0.017538829,-0.020311408,0.02586076,-0.041404392,-0.029480247,0.011075611,0.066320649,-0.014127321,-0.024113831,-0.004832074,0.045144181,-0.014013578,0.00477579,0.000418686,-0.000360538,7.77E-16
Mb93,Mb93,0,noone,NA,rob,Sacc_rob,M6,3,43.1611,128.018,11407,-5.573885284,5.003535548,-1.243246275,-5.110232229,-0.46619545,-5.402315903,0.460506713,-1.130113586,-1.628186021,-0.510210412,-0.8989718,0.267832259,-0.113389535,0.246036356,1.419898267,0.93108297,-0.476464225,-0.199311961,0.358266339,0.442755308,0.266285843,0.016475525,0.471670465,-0.245014015,-0.048514675,-0.348650041,-0.045647215,0.241345529,-0.000442143,0.004490428,0.088096205,0.004573977,0.0159521,0.057375061,-0.060607068,0.088477917,-0.059515948,-0.074875145,0.03908142,0.071310076,0.047940094,-0.013967226,0.007745415,-0.007438828,0.027148762,0.018104108,0.004135298,-0.000475665,-0.003080198,-9.45E-05,1.39E-16
Mb938,Mb938,0,noone,NA,sacc,Sacc_rob,M6,3,37.5277,140.116,4422,-0.871160217,2.774513889,3.667940957,-1.15519052,-2.662989928,0.534849889,0.058697501,1.198533484,-1.279063159,-0.053250867,0.120066183,0.174770785,0.468433318,-0.604194413,0.530034461,-0.24711102,-0.229355529,-0.10939163,-0.366488055,0.128569201,0.173258641,0.080842162,0.223355142,0.213579186,0.013212786,0.14934382,0.056208366,-0.076226774,-0.153005702,-0.057855649,0.027977607,0.092432031,-0.02906062,0.151316194,0.067277031,-0.005649797,0.015939642,-0.052821146,0.00943407,-0.027258068,-0.009566245,0.037029833,0.028403342,0.016286996,0.012492109,-0.005960991,-0.004218265,-0.003393955,0.00193278,0.000176725,2.25E-15
Mb939,Mb939#42,0,noone,NA,sacc,Sacc_rob,M6,3,37.5277,140.116,4422,-0.871160217,2.774513889,3.667940957,-1.15519052,-2.662989928,0.534849889,0.058697501,1.198533484,-1.279063159,-0.053250867,0.120066183,0.174770785,0.468433318,-0.604194413,0.530034461,-0.24711102,-0.229355529,-0.10939163,-0.366488055,0.128569201,0.173258641,0.080842162,0.223355142,0.213579186,0.013212786,0.14934382,0.056208366,-0.076226774,-0.153005702,-0.057855649,0.027977607,0.092432031,-0.02906062,0.151316194,0.067277031,-0.005649797,0.015939642,-0.052821146,0.00943407,-0.027258068,-0.009566245,0.037029833,0.028403342,0.016286996,0.012492109,-0.005960991,-0.004218265,-0.003393955,0.00193278,0.000176725,2.25E-15
Mb94,Mb94,0,noone,NA,sacc,Sacc_rob,M6,3,42.5331,128.273,11922,-4.623519465,4.457765144,-1.958080769,-5.119059375,0.337957619,-5.749027223,1.723443161,-0.311142669,0.556668835,-0.770162024,-0.582954543,-1.26734184,-0.109847952,0.731603558,1.422174585,0.457847729,2.167983662,0.865996326,0.267794022,0.068431584,0.071200016,-1.13478444,-0.171018854,0.152427423,-0.237056752,-0.179702003,-0.545046212,-0.496389679,-0.149232636,0.01291509,0.148799336,0.02616706,-0.056131802,-0.021538737,0.006484569,-0.167055848,0.202267637,0.070038216,-0.058217994,-0.0293947,-0.021983115,-0.083325541,-0.004936645,0.020211858,0.072426062,0.052876441,0.024601021,-0.015060233,-0.004152594,0.00081731,3.05E-16
