accession;geno;species;pop_dapc8;pop_dapc5;Lat;Long;Soil.all;TAA;TRD;TIA;TSA;TMA;TmA.1;TRA;TWeQ;TDQ;TWaQ;TCQ;PTA;PWM;PDM;PSA;PWeQ;PDQ;PWaQ;PCQ;T_GR;T_SA;T_SI;T_CL;T_RB;T_BD;T_OC;T_PH;T_CE;T_CS;T_BS;T_TE;T_CA;T_CO;T_ES;T_EC;S_GR;S_SA;S_SI;S_CL;S_RD;S_BD;S_OC;S_PH;S_CE;S_CS;S_BS;S_TE;S_CA;S_CO;S_ES;S_EC
Mb789;Mb789#43;sacc;Sacc_rob;3;320425;118412;11857;154;85;25;9014;317;-19;336;267;34;267;34;1048;196;31;54;468;115;468;115;4;82;8;10;159;143;4;65;48;6;89;59;0;0;2;1;6;75;8;17;15;157;24;65;53;10;88;81;0;0;1;1
Mb79;Mb79;sacc;Sacc_rob;3;347333;126683;4277;129;95;28;8620;295;-4;335;236;16;236;16;1375;251;30;67;697;116;645;116;66;433;281;286;1368;13305;10415;493;1935;86;48;491;0;0;15;1;83;3825;257;3605;13245;13535;415;5215;177;735;4945;411;0;0;165;1
Mb791;Mb791#48;lut;Lut;3;320425;118412;11857;154;85;25;9014;317;-19;336;267;34;267;34;1048;196;31;54;468;115;468;115;4;82;8;10;159;143;4;65;48;6;89;59;0;0;2;1;6;75;8;17;15;157;24;65;53;10;88;81;0;0;1;1
Mb793;Mb793#19;sacc;Sacc_rob;3;320425;118412;11857;154;85;25;9014;317;-19;336;267;34;267;34;1048;196;31;54;468;115;468;115;4;82;8;10;159;143;4;65;48;6;89;59;0;0;2;1;6;75;8;17;15;157;24;65;53;10;88;81;0;0;1;1
Mb797;Mb797#45;sacc;Sacc_rob;3;321414;119227;11876;154;81;24;9163;32;-13;333;269;36;269;36;1029;187;31;55;467;114;467;114;4;42;38;20;141;147;106;56;37;11;67;84;0;0;3;1;4;33;31;36;13;14;43;63;47;17;89;152;0;0;4;1
Mb8;Mb8;sin;Sin_N_Japan;1;384005;14074;4354;97;83;25;8713;27;-58;328;209;-1;209;-12;1408;189;72;34;530;236;530;243;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb80;Mb80;sin;Sin_S_Japan;2;347333;126683;4277;129;95;28;8620;295;-4;335;236;16;236;16;1375;251;30;67;697;116;645;116;66;433;281;286;1368;13305;10415;493;1935;86;48;491;0;0;15;1;83;3825;257;3605;13245;13535;415;5215;177;735;4945;411;0;0;165;1
Mb801;Mb801#29;sacc;Sacc_rob;3;321414;119227;11876;154;81;24;9163;32;-13;333;269;36;269;36;1029;187;31;55;467;114;467;114;4;42;38;20;141;147;106;56;37;11;67;84;0;0;3;1;4;33;31;36;13;14;43;63;47;17;89;152;0;0;4;1
Mb803;Mb803#50;sacc;Sacc_rob;3;321402;119228;11876;154;81;24;9163;32;-13;333;269;36;269;36;1029;187;31;55;467;114;467;114;4;42;38;20;141;147;106;56;37;11;67;84;0;0;3;1;4;33;31;36;13;14;43;63;47;17;89;152;0;0;4;1
Mb808;Mb808#49;sacc;Sacc_rob;3;324737;119252;11613;152;82;24;9206;318;-17;335;268;33;268;33;993;208;30;62;475;103;475;103;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
