accession;geno;species;pop_dapc8;pop_dapc5;Lat;Long;Soil.all;TAA;TRD;TIA;TSA;TMA;TmA.1;TRA;TWeQ;TDQ;TWaQ;TCQ;PTA;PWM;PDM;PSA;PWeQ;PDQ;PWaQ;PCQ;T_GR;T_SA;T_SI;T_CL;T_RB;T_BD;T_OC;T_PH;T_CE;T_CS;T_BS;T_TE;T_CA;T_CO;T_ES;T_EC;S_GR;S_SA;S_SI;S_CL;S_RD;S_BD;S_OC;S_PH;S_CE;S_CS;S_BS;S_TE;S_CA;S_CO;S_ES;S_EC
Mb1;Mb1;sacc;Sacc_rob;3;384005;14074;4354;97;83;25;8713;27;-58;328;209;-1;209;-12;1408;189;72;34;530;236;530;243;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb10;Mb10;sin;Sin_N_Japan;1;384005;14074;4354;97;83;25;8713;27;-58;328;209;-1;209;-12;1408;189;72;34;530;236;530;243;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb1014;Mb1014#1;flor;Flor_Taiwan;4;243971;121244;11879;56;7;44;3293;121;-38;159;85;27;92;1;3553;551;77;54;1487;275;1423;646;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb1025;Mb1025#22;flor;Sacc_rob;3;2409786;12117022;11851;131;74;45;3205;203;41;162;166;10;167;87;2741;395;67;52;1130;227;1067;290;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1029;Mb1029#24;flor;Sacc_rob;3;2418619;12133481;11879;102;73;45;3232;171;1;161;131;72;137;57;3421;438;93;46;1301;325;1120;428;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb1030;Mb1030#216;flor;Flor_Taiwan;4;2406064;12115519;11851;155;74;45;3244;228;65;163;185;122;191;11;2280;327;51;56;962;172;858;228;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1031;Mb1031#1;flor;Flor_Taiwan;4;2408244;12116356;11851;135;75;46;3200;207;45;162;17;104;171;91;2623;384;64;53;1094;212;1034;271;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1037;Mb1037#52;sacc;Sacc_rob;3;330103;118285;11876;153;89;26;9269;316;-25;341;269;3;269;3;834;221;25;78;441;83;441;83;4;42;38;20;141;147;106;56;37;11;67;84;0;0;3;1;4;33;31;36;13;14;43;63;47;17;89;152;0;0;4;1
Mb1038;Mb1038#900;rob;Sacc_rob;3;330037;118404;11481;152;88;25;9255;316;-25;341;268;3;268;3;835;224;25;78;440;84;440;84;4;14;39;47;123;141;97;8;51;28;100;223;133;0;2;1;3;15;40;45;124;146;45;79;51;21;100;209;192;2;3;19
Mb1039;Mb1039#900;sacc;Sacc_rob;3;314751;119253;11663;159;83;25;8877;323;-8;331;27;65;27;42;1131;182;35;48;473;133;473;139;4;37;40;23;138;135;107;62;41;13;88;102;0;0;2;1;5;36;36;28;135;15;37;66;42;13;90;119;0;0;2;1
Mb1040;Mb1040#17;sacc;Sacc_rob;3;314751;119253;11663;159;83;25;8877;323;-8;331;27;65;27;42;1131;182;35;48;473;133;473;139;4;37;40;23;138;135;107;62;41;13;88;102;0;0;2;1;5;36;36;28;135;15;37;66;42;13;90;119;0;0;2;1
Mb1041;Mb1041#17;rob;Lut;3;314751;119253;11663;159;83;25;8877;323;-8;331;27;65;27;42;1131;182;35;48;473;133;473;139;4;37;40;23;138;135;107;62;41;13;88;102;0;0;2;1;5;36;36;28;135;15;37;66;42;13;90;119;0;0;2;1
Mb1042;Mb1042#35;rob;Sacc_rob;3;321462;119228;11876;155;81;24;9196;322;-13;335;271;36;271;36;1024;187;31;55;465;114;465;114;4;42;38;20;141;147;106;56;37;11;67;84;0;0;3;1;4;33;31;36;13;14;43;63;47;17;89;152;0;0;4;1
Mb1043;Mb1043#32;sacc;Sacc_rob;3;321416;119227;11876;154;81;24;9163;32;-13;333;269;36;269;36;1029;187;31;55;467;114;467;114;4;42;38;20;141;147;106;56;37;11;67;84;0;0;3;1;4;33;31;36;13;14;43;63;47;17;89;152;0;0;4;1
Mb1044;Mb1044#50;sacc;Sacc_rob;3;321416;119227;11876;154;81;24;9163;32;-13;333;269;36;269;36;1029;187;31;55;467;114;467;114;4;42;38;20;141;147;106;56;37;11;67;84;0;0;3;1;4;33;31;36;13;14;43;63;47;17;89;152;0;0;4;1
Mb1045;Mb1045#31;lut;Lut;3;284807;116133;11927;182;77;24;8324;34;24;316;221;93;285;71;1235;226;35;58;577;130;444;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1046;Mb1046#29;lut;Sacc_rob;3;284807;116133;11927;182;77;24;8324;34;24;316;221;93;285;71;1235;226;35;58;577;130;444;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1048;Mb1048#30;lut;Lut;3;284808;116153;11927;182;77;24;8332;34;24;316;221;93;285;71;1244;227;35;58;580;131;447;155;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1049;Mb1049#5;lut;Sacc_rob;3;284833;116146;11927;182;77;24;8332;34;24;316;221;93;285;71;1241;227;35;58;580;130;446;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1050;Mb1050#3;lut;Lut;3;284833;116146;11927;182;77;24;8332;34;24;316;221;93;285;71;1241;227;35;58;580;130;446;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1051;Mb1051#3;lut;Lut;3;284833;116146;11927;182;77;24;8332;34;24;316;221;93;285;71;1241;227;35;58;580;130;446;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1052;Mb1052#32;lut;Lut;3;28485;116145;11927;182;77;24;8348;34;24;316;221;94;286;71;1235;225;35;58;575;130;443;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1053;Mb1053#19;lut;Lut;3;28485;116145;11927;182;77;24;8348;34;24;316;221;94;286;71;1235;225;35;58;575;130;443;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1055;Mb1055#44;lut;Lut;3;284833;116146;11927;182;77;24;8332;34;24;316;221;93;285;71;1241;227;35;58;580;130;446;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1056;Mb1056#31;lut;Sacc_rob;3;284833;116146;11927;182;77;24;8332;34;24;316;221;93;285;71;1241;227;35;58;580;130;446;154;89;376;3775;25;138;1258;1575;6115;463;1675;5975;972;45;0;15;1;83;3805;34;282;1363;13045;6765;6,05556E+14;477;16;4945;856;2;0;145;1
Mb1058;Mb1058#24;lut;Lut;3;284959;112258;11808;174;73;22;8658;336;14;322;217;81;282;58;1378;198;44;45;579;172;450;178;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1059;Mb1059#47;lut;Lut;3;284993;11226;11808;174;73;22;8657;336;15;321;217;82;282;58;1376;198;44;45;579;172;450;178;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1060;Mb1060#1;lut;Lut;3;285124;112248;11808;173;73;22;8655;335;14;321;215;81;281;57;1381;199;44;45;581;172;452;178;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1061;Mb1061#24;lut;Lut;3;285125;112247;11808;173;73;22;8655;335;14;321;215;81;281;57;1381;199;44;45;581;172;452;178;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1062;Mb1062#15;lut;Lut;3;285408;112224;11808;174;73;22;8655;336;14;322;217;81;281;58;1374;198;44;45;578;171;451;177;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1063;Mb1063#19;lut;Lut;3;285351;112235;11808;175;73;22;8676;337;15;322;218;82;283;59;1367;197;44;46;575;171;447;177;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1066;Mb1066#42;lut;Lut;3;285274;112254;11605;175;74;22;8668;338;16;322;218;83;283;6;1364;197;44;45;574;171;447;177;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb1067;Mb1067#18;lut;Sacc_rob;3;285341;112069;11805;174;74;22;8631;337;15;322;217;82;282;59;1371;198;43;45;575;169;455;173;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1068;Mb1068#30;lut;Lut;3;285341;112069;11805;174;74;22;8631;337;15;322;217;82;282;59;1371;198;43;45;575;169;455;173;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1069;Mb1069#920;lut;Lut;3;285335;112077;11805;175;74;22;8627;338;16;322;218;84;283;6;1363;197;43;46;572;168;452;173;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1071;Mb1071#41;lut;Lut;3;285323;112079;11605;174;74;22;8625;337;15;322;217;82;282;59;1370;198;43;45;575;169;454;173;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb1072;Mb1072#40;lut;Lut;3;285323;112079;11605;174;74;22;8625;337;15;322;217;82;282;59;1370;198;43;45;575;169;454;173;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb1073;Mb1073#230;lut;Lut;3;285323;112079;11605;174;74;22;8625;337;15;322;217;82;282;59;1370;198;43;45;575;169;454;173;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb1074;Mb1074#21;lut;Lut;3;285435;112075;11805;175;74;22;8599;337;15;322;217;83;282;6;1365;198;43;46;574;168;452;173;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1075;Mb1075#4;lut;Lut;3;285435;112075;11805;175;74;22;8599;337;15;322;217;83;282;6;1365;198;43;46;574;168;452;173;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1076;Mb1076#900;lut;Sin (EMI/PRI);1;28542;112075;11805;175;74;22;8599;337;15;322;217;83;282;6;1365;198;43;46;574;168;452;173;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1077;Mb1077#44;lut;Lut;3;285522;112092;11805;175;74;22;8659;338;15;323;218;83;283;6;1362;197;43;46;572;168;452;173;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1078;Mb1078#900;lut;Sacc_rob;3;285597;112101;11605;175;74;22;8662;338;16;322;218;83;283;6;1360;197;43;46;572;168;450;173;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb1080;Mb1080#1;lut;Lut;3;290442;111593;11605;171;76;23;8426;333;13;32;214;59;277;59;1332;196;41;47;547;152;474;152;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb1081;Mb1081#29;lut;Lut;3;285942;112015;11605;175;74;22;8602;337;15;322;218;82;282;6;1361;198;43;46;571;167;453;170;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb1082;Mb1082#41;lut;Lut;3;285942;112015;11605;175;74;22;8602;337;15;322;218;82;282;6;1361;198;43;46;571;167;453;170;10;29;50;21;138;141;112;78;34;11;100;241;93;0;1;3;10;34;45;21;139;15;82;79;41;13;100;329;94;0;1;3
Mb1083;Mb1083#21;lut;Lut;3;290442;111415;11804;174;78;24;8372;335;16;319;216;63;279;63;1330;195;39;48;550;144;485;144;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1085;Mb1085#24;lut;Lut;3;290442;111415;11804;174;78;24;8372;335;16;319;216;63;279;63;1330;195;39;48;550;144;485;144;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1086;Mb1086#54;lut;Hyb;5;290442;111415;11804;174;78;24;8372;335;16;319;216;63;279;63;1330;195;39;48;550;144;485;144;4;27;25;48;125;125;124;48;13;10;39;54;0;0;1;1;6;22;22;56;122;125;45;5;11;8;30;42;0;0;2;1
Mb1087;Mb1087#25;sin;Sin_S_Japan;2;290362;111356;11376;172;78;24;8317;332;15;317;214;61;276;61;1346;198;39;48;557;144;493;144;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1088;Mb1088#41;sin;Sin_S_Japan;2;290362;111356;11376;172;78;24;8317;332;15;317;214;61;276;61;1346;198;39;48;557;144;493;144;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1089;Mb1089#29;sin;Sin_S_Japan;2;290362;111356;11376;172;78;24;8317;332;15;317;214;61;276;61;1346;198;39;48;557;144;493;144;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1090;Mb1090#46;sin;Sin_S_Japan;2;290362;111356;11376;172;78;24;8317;332;15;317;214;61;276;61;1346;198;39;48;557;144;493;144;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1091;Mb1091#900;rob;Lut;3;290319;111345;11376;17;77;24;8304;33;13;317;212;6;274;6;1355;200;39;49;561;144;498;144;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1092;Mb1092#43;rob;Lut;3;290319;111345;11376;17;77;24;8304;33;13;317;212;6;274;6;1355;200;39;49;561;144;498;144;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1093;Mb1093#47;sacc;Hyb;5;290319;111345;11376;17;77;24;8304;33;13;317;212;6;274;6;1355;200;39;49;561;144;498;144;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1094;Mb1094#900;rob;Lut;3;290319;111345;11376;17;77;24;8304;33;13;317;212;6;274;6;1355;200;39;49;561;144;498;144;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1096;Mb1096#5;flor;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1097;Mb1097#23;flor;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1098;Mb1098#23;flor;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1099;Mb1099#26;cond;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb11;Mb11;sin;Sin_N_Japan;1;389107;1399;4395;12;79;24;8479;293;-25;318;42;93;23;15;1930;225;101;24;597;335;559;436;86;40;392;208;1404;1312;1116;674;498;148;872;1356;4;0;18;1;104;41;358;232;1388;142;452;71;512;132;926;1264;166;0;22;1
Mb1100;Mb1100#41;cond;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1102;Mb1102#46;cond;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1103;Mb1103#1;cond;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1104;Mb1104#44;sin;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1105;Mb1105#41;sin;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1106;Mb1106#24;sin;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1107;Mb1107#25;cond;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1108;Mb1108#44;flor;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1109;Mb1109#25;sin;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1110;Mb1110#45;sin;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1111;Mb1111#3;flor;Flor_Taiwan;4;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1112;Mb1112#55;flor;Sin_S_Japan;2;240611;121116;11851;128;75;46;3219;20;37;163;163;97;164;84;2895;421;62;57;1235;212;1129;285;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1113;Mb1113#25;flor;Flor_Taiwan;4;235214;120911;11839;146;79;50;2877;215;59;156;177;118;177;105;2583;488;39;76;1299;124;1299;163;8;40;37;23;139;119;116;49;29;11;34;47;0;0;1;1;7;35;33;32;133;135;35;48;30;12;33;34;0;0;1;1
Mb1114;Mb1114#22;flor;Flor_Taiwan;4;235214;120911;11839;146;79;50;2877;215;59;156;177;118;177;105;2583;488;39;76;1299;124;1299;163;8;40;37;23;139;119;116;49;29;11;34;47;0;0;1;1;7;35;33;32;133;135;35;48;30;12;33;34;0;0;1;1
Mb1115;Mb1115#24;flor;Flor_Taiwan;4;235214;120911;11839;146;79;50;2877;215;59;156;177;118;177;105;2583;488;39;76;1299;124;1299;163;8;40;37;23;139;119;116;49;29;11;34;47;0;0;1;1;7;35;33;32;133;135;35;48;30;12;33;34;0;0;1;1
Mb1116;Mb1116#31;sin;Flor_Taiwan;4;234875;12089;11864;98;8;50;2884;165;7;158;124;72;128;58;3638;629;53;68;1721;198;1718;281;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb1117;Mb1117#28;flor;Flor_Taiwan;4;234866;120853;11839;115;83;51;2920;184;24;16;145;86;145;73;3677;672;60;77;1874;184;1874;232;8;40;37;23;139;119;116;49;29;11;34;47;0;0;1;1;7;35;33;32;133;135;35;48;30;12;33;34;0;0;1;1
Mb1118;Mb1118#48;flor;Flor_Taiwan;4;234866;120853;11839;115;83;51;2920;184;24;16;145;86;145;73;3677;672;60;77;1874;184;1874;232;8;40;37;23;139;119;116;49;29;11;34;47;0;0;1;1;7;35;33;32;133;135;35;48;30;12;33;34;0;0;1;1
Mb1119;Mb1119#26;flor;Flor_Taiwan;4;235035;120797;11864;111;83;51;2910;181;21;16;142;84;142;71;3821;714;54;79;1982;173;1982;228;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb1121;Mb1121;NA;NA;NA;235102;120909;11839;149;79;50;2897;218;61;157;18;12;18;108;2488;475;37;76;1259;118;1234;156;8;40;37;23;139;119;116;49;29;11;34;47;0;0;1;1;7;35;33;32;133;135;35;48;30;12;33;34;0;0;1;1
Mb1123;Mb1123#27;sin;Flor_Taiwan;4;246254;121485;11389;163;65;37;3826;243;71;172;196;131;208;111;3111;437;129;43;1240;411;1175;437;19;42;37;21;141;133;139;51;23;11;24;3;0;0;1;1;26;46;34;20;142;148;6;49;28;6;21;18;0;0;1;1
Mb1125;Mb1125#53;flor;Hyb;5;246203;121489;11389;159;66;38;3812;239;67;172;192;108;204;108;2888;413;125;44;1150;395;1125;395;19;42;37;21;141;133;139;51;23;11;24;3;0;0;1;1;26;46;34;20;142;148;6;49;28;6;21;18;0;0;1;1
Mb1126;Mb1126#24;flor;Flor_Taiwan;4;246203;121489;11389;159;66;38;3812;239;67;172;192;108;204;108;2888;413;125;44;1150;395;1125;395;19;42;37;21;141;133;139;51;23;11;24;3;0;0;1;1;26;46;34;20;142;148;6;49;28;6;21;18;0;0;1;1
Mb1128;Mb1128#25;flor;Lut;3;246472;121475;11389;159;66;38;3843;239;67;172;192;107;204;107;2890;413;123;44;1151;391;1133;391;19;42;37;21;141;133;139;51;23;11;24;3;0;0;1;1;26;46;34;20;142;148;6;49;28;6;21;18;0;0;1;1
Mb1130;Mb1130#51;flor;Hyb;5;246472;121476;11389;159;66;38;3843;239;67;172;192;107;204;107;2890;413;123;44;1151;391;1133;391;19;42;37;21;141;133;139;51;23;11;24;3;0;0;1;1;26;46;34;20;142;148;6;49;28;6;21;18;0;0;1;1
Mb1132;Mb1132#52;flor;Hyb;5;246074;121489;11389;189;64;36;3990;274;98;176;236;136;236;136;2790;411;92;48;1138;315;1138;315;19;42;37;21;141;133;139;51;23;11;24;3;0;0;1;1;26;46;34;20;142;148;6;49;28;6;21;18;0;0;1;1
Mb1136;Mb1136#22;sin;Sin_N_Japan;1;251771;121548;11389;172;59;31;4540;261;76;185;186;164;227;112;3995;654;175;49;1748;576;988;732;19;42;37;21;141;133;139;51;23;11;24;3;0;0;1;1;26;46;34;20;142;148;6;49;28;6;21;18;0;0;1;1
Mb1137;Mb1137#31;sacc;Sacc_rob;3;357099;140184;4420;149;81;27;7419;298;-2;30;22;54;244;54;1417;195;50;36;501;182;433;182;48;376;374;25;139;946;3932;572;696;226;456;972;0;0;8;1;8;388;336;276;1374;974;1342;59;774;198;466;856;2;0;14;1
Mb1139;Mb1139#19;sin;Sin_N_Japan;1;357537;140202;4420;147;83;27;7465;297;-6;303;219;53;244;53;1404;192;49;36;495;179;429;179;48;376;374;25;139;946;3932;572;696;226;456;972;0;0;8;1;8;388;336;276;1374;974;1342;59;774;198;466;856;2;0;14;1
Mb1140;Mb1140#12;sin;Sin_N_Japan;1;357537;140202;4420;147;83;27;7465;297;-6;303;219;53;244;53;1404;192;49;36;495;179;429;179;48;376;374;25;139;946;3932;572;696;226;456;972;0;0;8;1;8;388;336;276;1374;974;1342;59;774;198;466;856;2;0;14;1
Mb1141;Mb1141#12;sin;Sin_N_Japan;1;357537;140202;4420;147;83;27;7465;297;-6;303;219;53;244;53;1404;192;49;36;495;179;429;179;48;376;374;25;139;946;3932;572;696;226;456;972;0;0;8;1;8;388;336;276;1374;974;1342;59;774;198;466;856;2;0;14;1
Mb1142;Mb1142#12;sacc;Sacc_rob;3;357996;140232;4420;147;85;27;7474;298;-8;306;219;52;244;52;1387;189;49;36;486;177;421;177;48;376;374;25;139;946;3932;572;696;226;456;972;0;0;8;1;8;388;336;276;1374;974;1342;59;774;198;466;856;2;0;14;1
Mb1144;Mb1144#31;sacc;Sacc_rob;3;357996;140232;4420;147;85;27;7474;298;-8;306;219;52;244;52;1387;189;49;36;486;177;421;177;48;376;374;25;139;946;3932;572;696;226;456;972;0;0;8;1;8;388;336;276;1374;974;1342;59;774;198;466;856;2;0;14;1
