UID,Genotype,Location,biol_rep,DW
77107,Mb1103#1,ABR 33 AM rep 3-R22 C22,3,0.467
77108,Mx1836#16,ABR 33 AM rep 3-R22 C23,3,0.927
77109,Mx2715#6,ABR 33 AM rep 3-R22 C24,3,0.209
77111,Mb80,ABR 33 AM rep 3-R23 C20,3,0.009
77112,Mb1025#22,ABR 33 AM rep 3-R23 C21,3,0.044
77114,Mb1110#45,ABR 33 AM rep 3-R23 C23,3,2.63
77117,Mb1545#1,ABR 33 AM rep 3-R24 C20,3,0.313
77118,Mb265,ABR 33 AM rep 3-R24 C21,3,0.973
77119,Mb1526#1,ABR 33 AM rep 3-R24 C22,3,0
77120,Mb1117#28,ABR 33 AM rep 3-R24 C23,3,0.797
77121,Mb1092#43,ABR 33 AM rep 3-R24 C24,3,0.084
77122,Mx2395#3,ABR 33 AM rep 3-R24 C25,3,0.461
77123,Mb406#1,ABR 33 AM rep 3-R25 C19,3,0.04
77124,Mb1075#4,ABR 33 AM rep 3-R25 C20,3,0.023
77125,Mx2481#5,ABR 33 AM rep 3-R25 C21,3,1.214
77126,Mb348,ABR 33 AM rep 3-R25 C22,3,0.035
77130,Mb1193#1,ABR 33 AM rep 3-R26 C19,3,0.642
77132,Mx2447#16,ABR 33 AM rep 3-R26 C21,3,0.139
77133,Mb1049#5,ABR 33 AM rep 3-R26 C22,3,0.019
77134,Mx2779#12,ABR 33 AM rep 3-R26 C23,3,0.496
77135,Mb1109#25,ABR 33 AM rep 3-R26 C24,3,3.928
77136,Mb755#14,ABR 33 AM rep 3-R26 C25,3,0.083
77137,Mb1536#1,ABR 33 AM rep 3-R27 C19,3,0.014
77139,Mb1505#1,ABR 33 AM rep 3-R27 C21,3,0.501
77140,Mb1195#4,ABR 33 AM rep 3-R27 C22,3,0.07
77141,Mx2782#4,ABR 33 AM rep 3-R27 C23,3,0.321
77142,Mb1525#6,ABR 33 AM rep 3-R27 C24,3,0.047
77143,Mb915#19,ABR 33 AM rep 3-R27 C25,3,1.093
77144,Mb458,ABR 33 AM rep 3-R28 C19,3,0.113
77147,Mb1060#1,ABR 33 AM rep 3-R28 C22,3,0.041
77149,Mx2785#2,ABR 33 AM rep 3-R28 C24,3,0.869
77151,Mb1499#1,ABR 33 AM rep 3-R29 C19,3,0.086
77152,Mb780#26,ABR 33 AM rep 3-R29 C20,3,0.056
77153,Mb1535#1,ABR 33 AM rep 3-R29 C21,3,0.226
77154,Mb1202#33,ABR 33 AM rep 3-R29 C22,3,0.076
77157,Mb1048#30,ABR 33 AM rep 3-R29 C25,3,0.237
77158,Mb1533#5,ABR 33 AM rep 3-R30 C19,3,0.135
77159,Mb1246#12,ABR 33 AM rep 3-R30 C20,3,0.203
77161,Mb1531#1,ABR 33 AM rep 3-R30 C22,3,0.471
77162,Mb1107#25,ABR 33 AM rep 3-R30 C23,3,1.269
77163,Mb855#21,ABR 33 AM rep 3-R30 C24,3,0
77164,Mb628#1,ABR 33 AM rep 3-R30 C25,3,0.008
77166,Mb623#13,ABR 33 AM rep 3-R31 C20,3,0.257
77167,Mb987#1,ABR 33 AM rep 3-R31 C21,3,0
77168,Mb30,ABR 33 AM rep 3-R31 C22,3,0.024
77169,Mb1055#44,ABR 33 AM rep 3-R31 C23,3,0.971
77170,Mb1167#41,ABR 33 AM rep 3-R31 C24,3,0
77172,Mb1517#1,ABR 33 AM rep 3-R32 C19,3,0.057
77174,Mb1514#1,ABR 33 AM rep 3-R32 C21,3,0.501
77175,Mb1029#24,ABR 33 AM rep 3-R32 C22,3,0.12
77176,Mx2781#4,ABR 33 AM rep 3-R32 C23,3,0.666
77177,Mb1098#23,ABR 33 AM rep 3-R32 C24,3,0.416
77180,Mb215,ABR 33 AM rep 3-R33 C20,3,0.074
77183,Mb1149#24,ABR 33 AM rep 3-R33 C23,3,0.912
77185,Mx2817#12,ABR 33 AM rep 3-R33 C25,3,0.747
77186,Mb1537#1,ABR 33 AM rep 3-R34 C19,3,0.665
77188,Mb197,ABR 33 AM rep 3-R34 C21,3,0.462
77189,Mb905#17,ABR 33 AM rep 3-R34 C22,3,0.167
77191,Mx2716#12,ABR 33 AM rep 3-R34 C24,3,0.356
77192,Mx2888#13,ABR 33 AM rep 3-R34 C25,3,2.213
77193,Mb1552#1,ABR 33 AM rep 3-R35 C19,3,0.63
77194,Mb424#8,ABR 33 AM rep 3-R35 C20,3,0.057
77195,Mb136,ABR 33 AM rep 3-R35 C21,3,0.655
77196,Mb503,ABR 33 AM rep 3-R35 C22,3,0.159
77197,Mb1123#27,ABR 33 AM rep 3-R35 C23,3,0.284
77199,Mb1139#19,ABR 33 AM rep 3-R35 C25,3,0.701
77200,Mb201,ABR 33 AM rep 3-R36 C19,3,0.074
77202,Mb1539#20,ABR 33 AM rep 3-R36 C21,3,0.013
77204,Mb1118#48,ABR 33 AM rep 3-R36 C23,3,0.568
77205,Mb1180#44,ABR 33 AM rep 3-R36 C24,3,0
77206,Mb801#29,ABR 33 AM rep 3-R36 C25,3,0.186
77208,Mb1111#3,ABR 33 AM rep 3-R37 C20,3,1.278
77209,Mb1520#1,ABR 33 AM rep 3-R37 C21,3,0.107
77210,Mb1050#3,ABR 33 AM rep 3-R37 C22,3,0.031
77212,Mx2783#12,ABR 33 AM rep 3-R37 C24,3,0.249
77213,Mb1090#46,ABR 33 AM rep 3-R37 C25,3,0.061
77214,Mb208,ABR 33 AM rep 3-R38 C19,3,0.105
77216,Mb1209#1,ABR 33 AM rep 3-R38 C21,3,0.024
77217,Mb1547#1,ABR 33 AM rep 3-R38 C22,3,0.011
77218,Mb1100#41,ABR 33 AM rep 3-R38 C23,3,1.581
77219,Mb1088#41,ABR 33 AM rep 3-R38 C24,3,0
77220,Mx1813#20,ABR 33 AM rep 3-R38 C25,3,0.171
77223,Mb1328#12,ABR 33 AM rep 3-R39 C21,3,0.07
77224,Mb34,ABR 33 AM rep 3-R39 C22,3,0.06
77225,Mx2832#1,ABR 33 AM rep 3-R39 C23,3,1.39
77227,Mb1108#44,ABR 33 AM rep 3-R39 C25,3,1.315
77229,Mb1160#1,ABR 33 AM rep 3-R40 C20,3,0
77233,Mx2760#2,ABR 33 AM rep 3-R40 C24,3,0.366
77234,Mb1046#29,ABR 33 AM rep 2-R10 C19,2,0.113
77235,Mb208,ABR 33 AM rep 2-R10 C20,2,0.31
77238,Mb1525#6,ABR 33 AM rep 2-R10 C23,2,0.272
77240,Mx2716#12,ABR 33 AM rep 2-R10 C25,2,0.463
77241,Mx2447#16,ABR 33 AM rep 2-R11 C19,2,0.168
77242,Mb1550#1,ABR 33 AM rep 2-R11 C20,2,0
77244,Mb210,ABR 33 AM rep 2-R11 C22,2,1.037
77245,Mx2830#4,ABR 33 AM rep 2-R11 C23,2,0.862
77246,Mx2756#12,ABR 33 AM rep 2-R11 C24,2,1.499
77247,Mb1107#25,ABR 33 AM rep 2-R11 C25,2,1.557
77249,Mb458,ABR 33 AM rep 2-R12 C20,2,0.071
77250,Mb1501#1,ABR 33 AM rep 2-R12 C21,2,1.452
77251,Mb1504#1,ABR 33 AM rep 2-R12 C22,2,1.293
77252,Mx2760#2,ABR 33 AM rep 2-R12 C23,2,0
77254,Mb784#21,ABR 33 AM rep 2-R12 C25,2,0.119
77255,Mb1552#1,ABR 33 AM rep 2-R13 C19,2,0.599
77256,Mb1515#1,ABR 33 AM rep 2-R13 C20,2,0.439
77257,Mb1498#1,ABR 33 AM rep 2-R13 C21,2,0.829
77258,Mb1060#1,ABR 33 AM rep 2-R13 C22,2,0.014
77260,Mb1534#6,ABR 33 AM rep 2-R13 C24,2,0.24
77261,Mx2832#1,ABR 33 AM rep 2-R13 C25,2,1.557
77262,Mb1199#3,ABR 33 AM rep 2-R14 C19,2,0.677
77263,Mb201,ABR 33 AM rep 2-R14 C20,2,0.247
77264,Mb987#1,ABR 33 AM rep 2-R14 C21,2,0
77265,Mb34,ABR 33 AM rep 2-R14 C22,2,0.118
77266,Mx2888#13,ABR 33 AM rep 2-R14 C23,2,1.64
77267,Mb793#19,ABR 33 AM rep 2-R14 C24,2,0.067
77269,Mb1411#15,ABR 33 AM rep 2-R15 C19,2,0.865
77270,Mb533#1,ABR 33 AM rep 2-R15 C20,2,0.315
77274,Mx2894#4,ABR 33 AM rep 2-R15 C24,2,0.425
77277,Mb1537#1,ABR 33 AM rep 2-R16 C20,2,0
77278,Mb858#1,ABR 33 AM rep 2-R16 C21,2,0.004
77279,Mb42,ABR 33 AM rep 2-R16 C22,2,0.255
77280,Mx2837#15,ABR 33 AM rep 2-R16 C23,2,1.185
77281,Mx2783#12,ABR 33 AM rep 2-R16 C24,2,0.223
77282,Mb1540#7,ABR 33 AM rep 2-R16 C25,2,0.426
77283,Mb926#21,ABR 33 AM rep 2-R17 C19,2,0.834
77284,Mb1234#33,ABR 33 AM rep 2-R17 C20,2,1.157
77285,Mb1165#3,ABR 33 AM rep 2-R17 C21,2,0.101
77286,Mb197,ABR 33 AM rep 2-R17 C22,2,0.477
77287,Mx2817#12,ABR 33 AM rep 2-R17 C23,2,1.341
77288,Mb1219#44,ABR 33 AM rep 2-R17 C24,2,1.356
77289,Mb1083#21,ABR 33 AM rep 2-R17 C25,2,0.268
77290,Mb1328#12,ABR 33 AM rep 2-R18 C19,2,0.041
77291,Mb253,ABR 33 AM rep 2-R18 C20,2,0.258
77292,Mb1546#1,ABR 33 AM rep 2-R18 C21,2,1.075
77294,Mb1090#46,ABR 33 AM rep 2-R18 C23,2,0.26
77295,Mx2785#2,ABR 33 AM rep 2-R18 C24,2,0.922
77296,Mb952#23,ABR 33 AM rep 2-R18 C25,2,1.637
77297,Mb1025#22,ABR 33 AM rep 2-R19 C19,2,0
77299,Mb1333#923,ABR 33 AM rep 2-R19 C21,2,0.952
77301,Mb1073#230,ABR 33 AM rep 2-R19 C23,2,0
77302,Mb856#30,ABR 33 AM rep 2-R19 C24,2,0.076
77305,Mb112,ABR 33 AM rep 2-R20 C20,2,0.138
77306,Mb1514#1,ABR 33 AM rep 2-R20 C21,2,0.608
77307,Mb779#14,ABR 33 AM rep 2-R20 C22,2,0.07
77309,Mb1136#22,ABR 33 AM rep 2-R20 C24,2,1.003
77310,Mb1180#44,ABR 33 AM rep 2-R20 C25,2,0.021
77311,Mb503,ABR 33 AM rep 2-R21 C19,2,0.297
77312,Mb1550#1,ABR 33 AM rep 2-R21 C20,2,0.079
77313,Mb111,ABR 33 AM rep 2-R21 C21,2,0.027
77314,Mb1031#1,ABR 33 AM rep 2-R21 C22,2,0.208
77315,Mb1221#21,ABR 33 AM rep 2-R21 C23,2,0.068
77316,Mb1071#41,ABR 33 AM rep 2-R21 C24,2,0
77317,Mb1529#2,ABR 33 AM rep 2-R21 C25,2,0.944
77322,Mb110,ABR 33 AM rep 2-R22 C22,2,0.15
77323,Mb1230#22,ABR 33 AM rep 2-R22 C23,2,0.385
77324,Mb1106#24,ABR 33 AM rep 2-R22 C24,2,3.162
77325,Mb1105#41,ABR 33 AM rep 2-R22 C25,2,3.111
77327,Mb1507#1,ABR 33 AM rep 2-R23 C19,2,0.697
77328,Mb1218#5,ABR 33 AM rep 2-R23 C20,2,1.077
77329,Mb1520#1,ABR 33 AM rep 2-R23 C21,2,0.033
77331,Mx2782#4,ABR 33 AM rep 2-R23 C23,2,0.561
77332,Mb1087#25,ABR 33 AM rep 2-R23 C24,2,0.529
77333,Mx2398#5,ABR 33 AM rep 2-R23 C25,2,2.325
77334,Mb1139#19,ABR 33 AM rep 2-R23 C26,2,0.43
77336,Mb80,ABR 33 AM rep 2-R24 C20,2,0.155
77337,Mb308,ABR 33 AM rep 2-R24 C21,2,0.56
77340,Mb1102#46,ABR 33 AM rep 2-R24 C24,2,2.725
77341,Mb1521#5,ABR 33 AM rep 2-R24 C25,2,0.941
77343,Mb1494#1,ABR 33 AM rep 2-R25 C19,2,1.064
77344,Mb143,ABR 33 AM rep 2-R25 C20,2,0
77346,Mb1103#1,ABR 33 AM rep 2-R25 C22,2,0.842
77347,Mb1496#4,ABR 33 AM rep 2-R25 C23,2,1.595
77348,Mb1108#44,ABR 33 AM rep 2-R25 C24,2,1.216
77351,Mb19,ABR 33 AM rep 2-R26 C19,2,0.527
77352,Mb23,ABR 33 AM rep 2-R26 C20,2,0.585
77353,Mb1499#1,ABR 33 AM rep 2-R26 C21,2,0.267
77354,Mb70,ABR 33 AM rep 2-R26 C22,2,0.082
77356,Mb1085#24,ABR 33 AM rep 2-R26 C24,2,0.137
77357,Mb1226#28,ABR 33 AM rep 2-R26 C25,2,0.297
77359,Mb1075#4,ABR 33 AM rep 2-R27 C19,2,0.11
77360,Mb1502#1,ABR 33 AM rep 2-R27 C20,2,0.78
77361,Mb424#8,ABR 33 AM rep 2-R27 C21,2,0.513
77363,Mb1089#29,ABR 33 AM rep 2-R27 C23,2,0
77364,Mb1097#23,ABR 33 AM rep 2-R27 C24,2,3.149
77365,Mb1088#41,ABR 33 AM rep 2-R27 C25,2,0.037
77366,Mb628#1,ABR 33 AM rep 2-R27 C26,2,0.224
77368,Mb1533#5,ABR 33 AM rep 2-R28 C20,2,0.451
77369,Mb1512#1,ABR 33 AM rep 2-R28 C21,2,0.261
77370,Mb1535#1,ABR 33 AM rep 2-R28 C22,2,0.287
77373,Mb1061#24,ABR 33 AM rep 2-R28 C25,2,0.342
77375,Mb900#1,ABR 33 AM rep 2-R29 C19,2,0.037
77376,Mb1209#1,ABR 33 AM rep 2-R29 C20,2,0.356
77377,Mb1541#1,ABR 33 AM rep 2-R29 C21,2,0.251
77378,Mb1510#1,ABR 33 AM rep 2-R29 C22,2,0.496
77379,Mb1128#25,ABR 33 AM rep 2-R29 C23,2,0.212
77380,Mb1074#21,ABR 33 AM rep 2-R29 C24,2,0.053
77381,Mb1093#47,ABR 33 AM rep 2-R29 C25,2,0.984
77383,Mb265,ABR 33 AM rep 2-R3 C19,2,0.748
77384,Mb350,ABR 33 AM rep 2-R3 C20,2,0.336
77385,Mb1505#1,ABR 33 AM rep 2-R3 C21,2,1.134
77386,Mb905#17,ABR 33 AM rep 2-R3 C22,2,0.561
77387,Mb1532#3,ABR 33 AM rep 2-R3 C23,2,1.221
77388,Mb1221#21,ABR 33 AM rep 2-R3 C24,2,0.317
77389,Mx2784#10,ABR 33 AM rep 2-R3 C25,2,0.042
77390,Mb1545#1,ABR 33 AM rep 2-R30 C19,2,0.262
77392,Mb1518#1,ABR 33 AM rep 2-R30 C21,2,0.267
77395,Mb1126#24,ABR 33 AM rep 2-R30 C24,2,0.05
77396,Mb836#22,ABR 33 AM rep 2-R30 C25,2,0.007
77398,Mb1246#12,ABR 33 AM rep 2-R31 C19,2,0.979
77402,Mb1149#24,ABR 33 AM rep 2-R31 C23,2,0.748
77403,Mb1186#26,ABR 33 AM rep 2-R31 C24,2,0.919
77404,Mx1813#20,ABR 33 AM rep 2-R31 C25,2,0
77406,Mb294,ABR 33 AM rep 2-R32 C19,2,0.041
77407,Mb5,ABR 33 AM rep 2-R32 C20,2,0.703
77409,Mb1238#1,ABR 33 AM rep 2-R32 C22,2,0.471
77411,Mb1123#27,ABR 33 AM rep 2-R32 C24,2,0.13
77412,Mb1225#21,ABR 33 AM rep 2-R32 C25,2,1.06
77413,Mb915#19,ABR 33 AM rep 2-R32 C26,2,0.504
77414,Mb493#1,ABR 33 AM rep 2-R33 C19,2,0.84
77415,Mb215,ABR 33 AM rep 2-R33 C20,2,0.164
77416,Mb1527#1,ABR 33 AM rep 2-R33 C21,2,0
77417,Mb1233#4,ABR 33 AM rep 2-R33 C22,2,0.004
77418,Mb1110#45,ABR 33 AM rep 2-R33 C23,2,2.798
77420,Mb1066#42,ABR 33 AM rep 2-R33 C25,2,0.052
77421,Mb755#14,ABR 33 AM rep 2-R33 C26,2,0.397
77422,Mb35,ABR 33 AM rep 2-R34 C19,2,0.161
77423,Mb1204#1,ABR 33 AM rep 2-R34 C20,2,0.205
77424,Mb160,ABR 33 AM rep 2-R34 C21,2,0.112
77427,Mb1092#43,ABR 33 AM rep 2-R34 C24,2,0.088
77429,Mb1099#26,ABR 33 AM rep 2-R34 C26,2,1.598
77430,Mb416,ABR 33 AM rep 2-R35 C19,2,0.086
77432,Mb1193#1,ABR 33 AM rep 2-R35 C21,2,1.171
77434,Mb258,ABR 33 AM rep 2-R35 C23,2,0.277
77435,Mb1048#30,ABR 33 AM rep 2-R35 C24,2,0.216
77436,Mb1058#24,ABR 33 AM rep 2-R35 C25,2,0
77438,Mb413#1,ABR 33 AM rep 2-R36 C19,2,0.03
77440,Mb1536#1,ABR 33 AM rep 2-R36 C21,2,0.429
77441,Mb1202#33,ABR 33 AM rep 2-R36 C22,2,0.417
77442,Mb884#1,ABR 33 AM rep 2-R36 C23,2,0.063
77443,Mb1104#44,ABR 33 AM rep 2-R36 C24,2,3.291
77444,Mb1232#26,ABR 33 AM rep 2-R36 C25,2,1.407
77445,Mb1082#41,ABR 33 AM rep 2-R36 C26,2,0.234
77446,Mb859#1,ABR 33 AM rep 2-R37 C19,2,0.02
77447,Mb1197#1,ABR 33 AM rep 2-R37 C20,2,0.086
77448,Mb298,ABR 33 AM rep 2-R37 C21,2,0.126
77450,Mb1030#216,ABR 33 AM rep 2-R37 C23,2,0.053
77451,Mb1551#2,ABR 33 AM rep 2-R37 C24,2,1.593
77452,Mb1118#48,ABR 33 AM rep 2-R37 C25,2,1.102
77454,Mb1216#3,ABR 33 AM rep 2-R38 C19,2,0.622
77455,Mb1564#1,ABR 33 AM rep 2-R38 C20,2,1.439
77456,Mb33,ABR 33 AM rep 2-R38 C21,2,0.072
77457,Mb623#13,ABR 33 AM rep 2-R38 C22,2,0.059
77458,Mb1543#1,ABR 33 AM rep 2-R38 C23,2,0.639
77459,Mb1544#3,ABR 33 AM rep 2-R38 C24,2,0.115
77460,Mx2775#1,ABR 33 AM rep 2-R38 C25,2,1.06
77461,Mb995#2,ABR 33 AM rep 2-R38 C26,2,0.216
77462,Mb1203#4,ABR 33 AM rep 2-R39 C19,2,0.046
77463,Mb1160#1,ABR 33 AM rep 2-R39 C20,2,0
77464,Mb41,ABR 33 AM rep 2-R39 C21,2,0.176
77465,Mb1242#1,ABR 33 AM rep 2-R39 C22,2,0.679
77466,Mb14,ABR 33 AM rep 2-R39 C23,2,0.69
77467,Mb1513#3,ABR 33 AM rep 2-R39 C24,2,0.573
77468,Mx2765#11,ABR 33 AM rep 2-R39 C25,2,1.77
77469,Mb1210#26,ABR 33 AM rep 2-R39 C26,2,0.98
